"","Soort","Buffer","Gebied","Overlap"
"274","struikaster",250,"Vlaamse Ardennen & Schelde-Leie",0.0426075108526246
"275","struikaster",250,"Zandig Vlaanderen",0.0585083441715681
"276","reuzenberenklauw",250,"Antwerpse Kempen",0.143250359168616
"277","reuzenberenklauw",250,"Brabantse Wouden",0.0942167512179797
"278","reuzenberenklauw",250,"Demerland & Zuiderkempen",0.087536329454959
"279","reuzenberenklauw",250,"Groene Gordels",0.117425468411283
"280","reuzenberenklauw",250,"Hoge Kempen tot Voeren",0.077334521473139
"281","reuzenberenklauw",250,"Kust & Westhoek",0.0993052404168085
"282","reuzenberenklauw",250,"Lage tot aan Hoge Kempen",0.0839492765421328
"283","reuzenberenklauw",250,"Taxandria",0.0540034414823132
"284","reuzenberenklauw",250,"Vlaamse Ardennen & Schelde-Leie",0.158475684156039
"285","reuzenberenklauw",250,"Zandig Vlaanderen",0.0838743491704326
"286","reuzenberenklauw",250,NA,0.000628578506297377
"287","Chinese muntjak",250,"Antwerpse Kempen",0.524471374797722
"288","Chinese muntjak",250,"Demerland & Zuiderkempen",0.065225905801879
"289","Chinese muntjak",250,"Groene Gordels",0.221172184376796
"290","Chinese muntjak",250,"Hoge Kempen tot Voeren",0.0193893844361636
"291","Chinese muntjak",250,"Kust & Westhoek",0.0183859815513427
"292","Chinese muntjak",250,"Lage tot aan Hoge Kempen",0.00846237780397248
"293","Chinese muntjak",250,"Taxandria",0.0918164709238998
"294","Chinese muntjak",250,"Vlaamse Ardennen & Schelde-Leie",0.0177228095266845
"295","Chinese muntjak",250,"Zandig Vlaanderen",0.0333535107815401
