CELLCODE	EOFORIGIN	NOFORIGIN	geometry	natura2000	spa	habitat
1kmE3773N3172	3773000	3172000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3172000, 3173000, 3173000, 3172000, 3172000))	FALSE	FALSE	FALSE
1kmE3773N3173	3773000	3173000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3173000, 3174000, 3174000, 3173000, 3173000))	FALSE	FALSE	FALSE
1kmE3773N3174	3773000	3174000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3174000, 3175000, 3175000, 3174000, 3174000))	FALSE	FALSE	FALSE
1kmE3773N3175	3773000	3175000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3175000, 3176000, 3176000, 3175000, 3175000))	FALSE	FALSE	FALSE
1kmE3773N3176	3773000	3176000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3176000, 3177000, 3177000, 3176000, 3176000))	FALSE	FALSE	FALSE
1kmE3773N3177	3773000	3177000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3177000, 3178000, 3178000, 3177000, 3177000))	FALSE	FALSE	FALSE
1kmE3773N3178	3773000	3178000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3178000, 3179000, 3179000, 3178000, 3178000))	FALSE	FALSE	FALSE
1kmE3773N3179	3773000	3179000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3179000, 3180000, 3180000, 3179000, 3179000))	FALSE	FALSE	FALSE
1kmE3773N3180	3773000	3180000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3180000, 3181000, 3181000, 3180000, 3180000))	FALSE	FALSE	FALSE
1kmE3773N3181	3773000	3181000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3181000, 3182000, 3182000, 3181000, 3181000))	FALSE	FALSE	FALSE
1kmE3773N3182	3773000	3182000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3182000, 3183000, 3183000, 3182000, 3182000))	FALSE	FALSE	FALSE
1kmE3773N3183	3773000	3183000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3183000, 3184000, 3184000, 3183000, 3183000))	FALSE	FALSE	FALSE
1kmE3773N3184	3773000	3184000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3184000, 3185000, 3185000, 3184000, 3184000))	FALSE	FALSE	FALSE
1kmE3773N3185	3773000	3185000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3185000, 3186000, 3186000, 3185000, 3185000))	FALSE	FALSE	FALSE
1kmE3773N3186	3773000	3186000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3186000, 3187000, 3187000, 3186000, 3186000))	FALSE	FALSE	FALSE
1kmE3773N3187	3773000	3187000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3187000, 3188000, 3188000, 3187000, 3187000))	FALSE	FALSE	FALSE
1kmE3773N3188	3773000	3188000	list(c(3773000, 3773000, 3774000, 3774000, 3773000, 3188000, 3189000, 3189000, 3188000, 3188000))	FALSE	FALSE	FALSE
