Soort,HBTRL1,HBTRL2,HBTRL3,VGLRL1,VGLRL2,VGLRL3,PATDATregio1,PATDATregio2,PATDATregio3,PATDATdomein1,PATDATdomein2,PATDATdomein3,NBHP1,NBHP2,NBHP3
Chinese moerasslak,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden","Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",-,Het Vijvercomplex van Midden-Limburg,-,-,Demerland & Zuiderkempen,Antwerpse Kempen,-,Vijvercomplex,Mastenbos,-,Vijvercomplex Midden-Limburg,Griesbroek,UBP/AN/10/04 - Kapellen-Schoten-Brasschaat
wasbeerhond,-,-,-,-,-,-,Zandig Vlaanderen,-,-,Duvelsnest (Ter Heide),-,-,Rode Dophei,Sint-Andriesveld,-
Aziatische hoornaar (soort),Bossen van de Vlaamse Ardennen en andere Zuidvlaamse bossen,Duingebieden inclusief IJzermonding en Zwin,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,Durme en de middenloop van de Schelde,Westkust,De Demervallei,Kust & Westhoek,Vlaamse Ardennen & Schelde-Leie,Brabantse Wouden,Plantentuin Meise,Palingbeek,Zonienwoud,Zoniënwoud,Onbevaarbare waterlopen 1e categorie,Meerdaalwoud-Heverleebos
Leidse plant,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,-,-,Durme en de middenloop van de Schelde,Bokrijk en omgeving,-,Zandig Vlaanderen,Demerland & Zuiderkempen,-,Berlarebroek,Bokrijk,-,Berlare Broek - Donkmeer,Bos- en aanvullend landschapsbeheerplan Bokrijk,Demervallei
treurmaina,Uiterwaarden langs de Limburgse Maas en Vijverbroek,-,-,-,-,-,Lage tot aan Hoge Kempen,-,-,Heesakkerheide,-,-,Openbare bossen Overpelt,Heesakkerheide,-
moerasanemoon,Schelde- en Durme-estuarium van de Nederlandse grens tot Gent,"Valleigebied van de Kleine Nete met brongebieden, moerassen en heiden",-,Durme en de middenloop van de Schelde,De Ronde Put,Bokrijk en omgeving,Demerland & Zuiderkempen,Antwerpse Kempen,-,Den Brandt,Welleke,Bokrijk,UBBP/AN/10/08 - Nachtegalenpark,Bos- en aanvullend landschapsbeheerplan Bokrijk,Vallei van de Winterbeek
Turkse rivierkreeft,Hallerbos en nabije boscomplexen met brongebieden en heiden,-,-,Poldercomplex,-,-,Groene Gordels,Brabantse Wouden,Kust & Westhoek,Ter Rijst,Plantentuin Meise,Provinciedomein Huizingen,Bos Ter Rijst,Stadswallen van Damme,-
marmerkreeft,-,-,-,-,-,-,-,-,-,-,-,-,Provinciaal domein Kessel-Lo,Wolvenberg-Brilschans,Stiemerbeekvallei
sikahert,"Valleien van de Laambeek, Zonderikbeek, Slangebeek en Roosterbeek met vijvergebieden en heiden","Valleien van de Dijle, Laan en IJse met aangrenzende bos- en moerasgebieden","Bovenloop van de Grote Nete met Zammelsbroek, Langdonken en Goor",Het Vijvercomplex van Midden-Limburg,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",-,Demerland & Zuiderkempen,Brabantse Wouden,Lage tot aan Hoge Kempen,Vijvercomplex,Rodebos en Laanvallei,Loods Houthalen,Vijvercomplex Midden-Limburg,"Dijle-, Laan- en Ijsevallei",Sint-Maartensheide - De Luysen
gewone gunnera,-,-,-,-,-,-,-,-,-,-,-,-,"Leie, sectie Deinze - Sint-Baafs-Vijve",Onbevaarbare waterlopen 1e categorie,-
Noord-Aziatische modderkruiper,-,-,-,"Hamonterheide, Hageven, Buitenheide, Stamprooierbroek en Mariahof",-,-,Lage tot aan Hoge Kempen,-,-,Broeksbeemden,-,-,Smeetshof,Lozerheide,-
