soort,species,inN2KHAB,in1130,in1330,in2310,in2330,in3130,in3140,in3150,in3160,in4010,in4030,in6230,in6410,in6430,in6510,in7140,in9120,in9130,in9160,in9190,in91E0,in1140,in1310,in1320,in2110,in2120,in2130,in2150,in2160,in2170,in2180,in2190,in3260,in3270,in5130,in6120,in6210,in7110,in7150,in7210,in7230,in9110,in9150,in91F0,ofN2KHAB,of1130,of1330,of2310,of2330,of3130,of3140,of3150,of3160,of4010,of4030,of6230,of6410,of6430,of6510,of7140,of9120,of9130,of9160,of9190,of91E0,of1140,of1310,of1320,of2110,of2120,of2130,of2150,of2160,of2170,of2180,of2190,of3260,of3270,of5130,of6120,of6210,of7110,of7150,of7210,of7230,of9110,of9150,of91F0,selN2KHAB,sel1130,sel1330,sel2310,sel2330,sel3130,sel3140,sel3150,sel3160,sel4010,sel4030,sel6230,sel6410,sel6430,sel6510,sel7140,sel9120,sel9130,sel9160,sel9190,sel91E0,sel1140,sel1310,sel1320,sel2110,sel2120,sel2130,sel2150,sel2160,sel2170,sel2180,sel2190,sel3260,sel3270,sel5130,sel6120,sel6210,sel7110,sel7150,sel7210,sel7230,sel9110,sel9150,sel91F0
Chinese moerasslak,"Cipangopaludina chinensis (J.E.Gray, 1833)", 0.348051,0,0,0,0,  0.226782,0,  0.079402,0,0,0,0,0,0,0,0,0,0,0,0,0.010257,0,0,0,0,0,0,0,0,0,0,0,  0.03161,0,0,0,0,0,0,0,0,0,0,0, 0.000267,0,0,0,0,  0.002136,0,  0.001943,0,0,0,0,0,0,0,0,0,0,0,0,0.000012,0,0,0,0,0,0,0,0,0,0,0,  0.00135,0,0,0,0,0,0,0,0,0,0,0,29.005535,0,0,0,0,231.805704,0,210.814363,0,0,0,0,0,0,0,0,0,0,0,0,1.274353,0,0,0,0,0,0,0,0,0,0,0,146.49367,0,0,0,0,0,0,0,0,0,0,0
Kesslergrondel,"Ponticola kessleri (Günther, 1861)",0.131898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005620,0,0,0,0,0,0,0,0,0,0,0,  0.110516,  0.015762,0,0,0,0,0,0,0,0,0,0,0.000167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000016,0,0,0,0,0,0,0,0,0,0,0,  0.011747,  0.021314,0,0,0,0,0,0,0,0,0,0,7.274001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698219,0,0,0,0,0,0,0,0,0,0,0,512.184225,929.311103,0,0,0,0,0,0,0,0,0,0
wasbeerhond,"Nyctereutes procyonoides Gray, 1834",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aziatische hoornaar (soort),"Vespa velutina Lepeletier, 1836",0.023105,0,0,0.000141,0.000137,0,0,0,0,0.000054,0.000186,0.000131,0.000020,0.000039,0.000681,0.000047,0.007789,0.002468,0.001339,0.000675,0.005737,0,0,0,0.000010,0.000466,0.000788,0,0.001342,0.000090,0.000756,0.000128,0,0,0,0,0,0.000009,0,0,0.000009,0.000052,0, 0.000011,0.038500,0,0,0.005434,0.011512,0,0,0,0,0.002784,0.003895,0.016521,0.028512,0.026617,0.034823,0.015370,0.039786,0.066655,0.034439,0.014923,0.048950,0,0,0,0.034003,0.123007,0.108649,0,0.183515,0.184884,0.221650,0.125462,0,0,0,0,0,0.617292,0,0,0.082696,0.013337,0, 0.992548,0.560595,0,0,0.079120,0.167625,0,0,0,0,0.040536,0.056708,0.240560,0.415163,0.387560,0.507051,0.223804,0.579323,0.970551,0.501464,0.217293,0.712748,0,0,0,0.495115,1.791091,1.582022,0,2.672131,2.692062,3.227412,1.826829,0,0,0,0,0,8.988280,0,0,1.204117,0.194192,0,14.452318
Leidse plant,Saururus cernuus L.,0.053710,0,0,0,0,0.003758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000022,0,0,0,0,0.000068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234296,0,0,0,0,3.840899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.205918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
treurmaina,"Acridotheres tristis Linnaeus, 1766",0.006402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155340,0,0,0,0,0,0,0,0,0,0,0,0,0,4.769646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasanemoon,Houttuynia cordata Thunb.,0.019035,0,0,0,0,0, 0.005650,0.002779,0,0,0,0,0,0,0,0,0,0,0,0,0.010606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000182,0,0,0,0,0, 0.001171,0.000845,0,0,0,0,0,0,0,0,0,0,0,0,0.000151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.586329,0,0,0,0,0,10.226864,7.379121,0,0,0,0,0,0,0,0,0,0,0,0,1.317674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkse rivierkreeft,"Pontastacus leptodactylus (Eschscholtz, 1823)",0.021839,0,0,0,0,0, 0.020312,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000035,0,0,0,0,0, 0.001073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.204390,0,0,0,0,0,36.767429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sikahert,"Cervus nippon Temminck, 1838",0.034257,0,0,0,0,0,0,0,0,0,0.000924,0.001847,0,0,0,0,0.008925,0,0.003877,0.001082,0.017603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000075,0,0,0,0,0,0,0,0,0,0.000026,0.000307,0,0,0,0,0.000060,0,0.000132,0.000032,0.000198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.831174,0,0,0,0,0,0,0,0,0,0.281928,3.382069,0,0,0,0,0.663808,0,1.451631,0.348398,2.186912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gewone gunnera,Gunnera tinctoria (Molina) Mirbel,0.006973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.610933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marmerkreeft,"Procambarus virginalis Lyko, 2017",0.018965,0,0,0,0,0,0,0,0, 0.015010,0,0,0,0,0,0,0,0,0,0,0.003955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000080,0,0,0,0,0,0,0,0, 0.000565,0,0,0,0,0,0,0,0,0,0,0.000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.580499,0,0,0,0,0,0,0,0,11.203969,0,0,0,0,0,0,0,0,0,0,0.491392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noord-Aziatische modderkruiper,"Misgurnus bipartitus (Sauvage & Dabry de Thiersant, 1874)", 0.267616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.267616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.000316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.000471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.302266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.247865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japans steltgras,Microstegium vimineum (Trin.) A. Camus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontische stroomgrondel,"Neogobius fluviatilis (Pallas, 1814)", 0.352766, 0.139810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.212956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.000045, 0.000075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0.000061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.454543,32.421910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.457122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afrikaanse klauwkikker,"Xenopus laevis (Daudin, 1802)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fraai lampenpoetsersgras,Cenchrus setaceus (Forssk.) Morrone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grote vlotvaren,Salvinia molesta D.S.Mitch.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geknobbelde Amerikaanse rivierkreeft,"Faxonius virilis Hagen, 1870",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
