"soort";"buffer";"percentage";"aantal";"rang_percentage";"rang_aantal"
"zonnebaars";100;0,0025429341933778;80;20;18
"zonnebaars";125;0,00370209058068841;88;20;18
"zonnebaars";150;0,00504188100252588;99;19;17
"zonnebaars";200;0,00818115743617561;117;19;18
"zonnebaars";300;0,0157641894860017;147;19;18
"zonnebaars";400;0,0247311216773325;175;19;18
"zonnebaars";500;0,0346312178641172;204;18;18
"Amerikaanse stierkikker";50;0,000458225967304838;23;27;32
"Amerikaanse stierkikker";75;0,000803956246585515;31;30;27
"Amerikaanse stierkikker";100;0,00118317738858492;32;31;28
"Amerikaanse stierkikker";125;0,0015704765868863;36;32;28
"Amerikaanse stierkikker";150;0,00195696616436623;39;32;27
"Amerikaanse stierkikker";200;0,00271003914851687;43;34;29
"Amerikaanse stierkikker";300;0,00408704258941662;50;36;31
"Amerikaanse stierkikker";400;0,00533119640765392;60;39;31
"Amerikaanse stierkikker";500;0,00638514748058394;67;39;32
"Chinese muntjak";50;0,000473631701984674;26;26;29
"Chinese muntjak";75;0,000946184205588774;29;26;29
"Chinese muntjak";100;0,00148745170913771;33;26;27
"Chinese muntjak";125;0,00209386749117926;33;27;31
"Chinese muntjak";150;0,00273407133320731;37;28;28
"Chinese muntjak";200;0,00405265926394953;44;28;28
"Chinese muntjak";300;0,00674591059300815;52;31;29
"Chinese muntjak";400;0,00953244466579845;59;31;32
"Chinese muntjak";500;0,0124733014251694;68;32;31
"beverrat";50;8,42593886056938e-05;16;44;36
"beverrat";75;0,000188426808734158;17;44;35
"beverrat";100;0,000334051497803316;18;44;34
"beverrat";125;0,000518455782135823;18;43;37
"beverrat";150;0,000738189441930392;18;42;36
"beverrat";200;0,00124991190155692;23;42;37
"beverrat";300;0,00257138398555163;24;42;39
"beverrat";400;0,00433236394040471;26;41;38
"beverrat";500;0,006301652628413;33;40;39
"wasbeerhond";50;3,00745665419632e-06;1;64;44
"wasbeerhond";75;5,18565288733239e-06;1;64;45
"wasbeerhond";100;6,87472990883357e-06;1;64;44
"wasbeerhond";125;8,5250502290619e-06;1;64;46
"wasbeerhond";150;1,01716001950919e-05;1;66;46
"wasbeerhond";200;1,34140291122375e-05;1;68;54
"wasbeerhond";300;1,97818464811778e-05;1;69;52
"wasbeerhond";400;2,56428420558321e-05;1;69;53
"wasbeerhond";500;2,99852136150609e-05;1;70;58
"muskusrat";50;0,0051682860203869;148;7;13
"muskusrat";75;0,00904198932553969;162;7;12
"muskusrat";100;0,012975909825778;178;8;13
"muskusrat";125;0,0168118744812016;187;8;13
"muskusrat";150;0,0204886430056474;194;8;12
"muskusrat";200;0,0272605456884335;209;10;13
"muskusrat";300;0,0391344992473937;234;14;13
"muskusrat";400;0,0493729876883191;262;14;13
"muskusrat";500;0,0584049261945582;293;14;13
"gevlekte Amerikaanse rivierkreeft";50;0,00039424367660073;46;29;24
"gevlekte Amerikaanse rivierkreeft";75;0,000832174256819172;50;28;23
"gevlekte Amerikaanse rivierkreeft";100;0,00139063502555504;54;28;22
"gevlekte Amerikaanse rivierkreeft";125;0,00204702661132892;57;28;25
"gevlekte Amerikaanse rivierkreeft";150;0,00278693318831168;61;27;24
"gevlekte Amerikaanse rivierkreeft";200;0,00449394117813748;68;26;24
"gevlekte Amerikaanse rivierkreeft";300;0,00840977108500291;87;23;25
"gevlekte Amerikaanse rivierkreeft";400;0,0127444254075716;112;24;24
"gevlekte Amerikaanse rivierkreeft";500;0,0173567419568391;128;24;24
"rosse stekelstaart";50;0,000535611634486153;24;25;31
"rosse stekelstaart";75;0,000994450815769604;24;25;33
"rosse stekelstaart";100;0,00153874149785994;25;25;32
"rosse stekelstaart";125;0,00217347166083679;26;26;34
"rosse stekelstaart";150;0,00286345237588779;26;26;33
"rosse stekelstaart";200;0,00437203888414989;27;27;36
"rosse stekelstaart";300;0,00775460089191652;33;26;36
"rosse stekelstaart";400;0,0111356719701861;40;27;35
"rosse stekelstaart";500;0,0145240629470825;46;27;36
"Californische rivierkreeft";50;0;0;65;45
"Californische rivierkreeft";75;0;0;67;46
"Californische rivierkreeft";100;0;0;67;45
"Californische rivierkreeft";125;0;0;69;47
"Californische rivierkreeft";150;0;0;69;47
"Californische rivierkreeft";200;3,14866157188333e-07;1;70;54
"Californische rivierkreeft";300;1,15642040162309e-05;1;70;52
"Californische rivierkreeft";400;2,30164066221301e-05;1;71;53
"Californische rivierkreeft";500;4,84578619721581e-05;1;69;58
"rode Amerikaanse rivierkreeft";50;0,000226904863908933;25;36;30
"rode Amerikaanse rivierkreeft";75;0,000459470479603971;28;35;30
"rode Amerikaanse rivierkreeft";100;0,000748692499830203;30;35;30
"rode Amerikaanse rivierkreeft";125;0,00106904217574515;30;36;32
"rode Amerikaanse rivierkreeft";150;0,00140538323828611;32;36;31
"rode Amerikaanse rivierkreeft";200;0,00212935061694159;37;36;34
"rode Amerikaanse rivierkreeft";300;0,00377935095981827;51;38;30
"rode Amerikaanse rivierkreeft";400;0,00558248290441662;60;38;31
"rode Amerikaanse rivierkreeft";500;0,0075609390947725;69;38;30
"marmerkreeft";50;0;0;65;45
"marmerkreeft";75;0;0;67;46
"marmerkreeft";100;0;0;67;45
"marmerkreeft";125;0;0;69;47
"marmerkreeft";150;0;0;69;47
"marmerkreeft";200;2,51166607537301e-06;1;69;54
"marmerkreeft";300;4,89658890070829e-05;2;66;51
"marmerkreeft";400;0,000120315814712606;4;66;50
"marmerkreeft";500;0,000196167067986455;5;65;54
"wasbeer";50;0,000193599807629305;22;38;33
"wasbeer";75;0,000418984158005739;27;37;31
"wasbeer";100;0,000729668067197134;30;36;30
"wasbeer";125;0,00110642890416263;33;35;31
"wasbeer";150;0,00153218022129115;37;35;28
"wasbeer";200;0,00256458711677375;40;35;31
"wasbeer";300;0,00515517705877075;53;34;28
"wasbeer";400;0,00819169867219879;68;34;29
"wasbeer";500;0,0115415407913681;81;34;29
"blauwbandgrondel";50;0,000361476669667813;46;31;24
"blauwbandgrondel";75;0,000735144318291227;51;31;22
"blauwbandgrondel";100;0,00120229796100667;54;30;22
"blauwbandgrondel";125;0,00176337905409971;60;30;24
"blauwbandgrondel";150;0,0024157475804126;65;30;23
"blauwbandgrondel";200;0,00400352216564184;78;29;23
"blauwbandgrondel";300;0,00804094789230069;96;25;24
"blauwbandgrondel";400;0,0130748102652276;111;23;25
"blauwbandgrondel";500;0,0188246760587423;128;23;24
"grijze eekhoorn";50;8,69259228167494e-06;1;62;44
"grijze eekhoorn";75;1,92579065489483e-05;1;61;45
"grijze eekhoorn";100;2,94799984490335e-05;1;61;44
"grijze eekhoorn";125;3,75266443751532e-05;1;61;46
"grijze eekhoorn";150;4,58367293149749e-05;1;63;46
"grijze eekhoorn";200;6,02610723872398e-05;2;63;53
"grijze eekhoorn";300;0,000102305994983251;4;64;49
"grijze eekhoorn";400;0,000203713960361118;4;63;50
"grijze eekhoorn";500;0,000342548324855147;4;64;55
"Amerikaanse voseekhoorn";50;0;0;65;45
"Amerikaanse voseekhoorn";75;0;0;67;46
"Amerikaanse voseekhoorn";100;0;0;67;45
"Amerikaanse voseekhoorn";125;0;0;69;47
"Amerikaanse voseekhoorn";150;0;0;69;47
"Amerikaanse voseekhoorn";200;0;0;71;55
"Amerikaanse voseekhoorn";300;0;0;72;53
"Amerikaanse voseekhoorn";400;0;0;72;54
"Amerikaanse voseekhoorn";500;0;0;74;59
"Siberische grondeekhoorn";50;0,000960470557423846;8;17;39
"Siberische grondeekhoorn";75;0,00163459453903701;9;20;38
"Siberische grondeekhoorn";100;0,00230597829433764;9;22;39
"Siberische grondeekhoorn";125;0,00292207964315617;9;22;41
"Siberische grondeekhoorn";150;0,00350337942184133;10;23;40
"Siberische grondeekhoorn";200;0,00465189696344983;11;25;45
"Siberische grondeekhoorn";300;0,00696040229045039;11;30;44
"Siberische grondeekhoorn";400;0,00934001412404421;12;33;45
"Siberische grondeekhoorn";500;0,0118056383266258;15;33;46
"heilige ibis";50;0,000913435782863236;24;18;31
"heilige ibis";75;0,00162302471157902;26;21;32
"heilige ibis";100;0,00240340845721687;26;21;31
"heilige ibis";125;0,00319844361237541;29;21;33
"heilige ibis";150;0,00396323514262507;31;21;32
