Soort,nDomeinen,nBehOve,nBosdec,nEigend,nHuur,nProLan,nErfpac,inPATDAT,inAntKem,inDemZKe,inGroGor,inKusWes,inLtHKem,inTaxand,inVArSch,inBraWou,inHKeVoe,inZanVla,inNA,ofPATDAT,ofAntKem,ofDemZKe,ofGroGor,ofKusWes,ofLtHKem,ofTaxand,ofVArSch,ofBraWou,ofHKeVoe,ofZanVla,ofNA,selPATDAT,selAntKem,selDemZKe,selGroGor,selKusWes,selLtHKem,selTaxand,selVArSch,selBraWou,selHKeVoe,selZanVla,selNA
waterwaaier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese moerasslak,2,0,0,1,1,0,0,0.453875, 0.098775, 0.355100,0,0,0,0,0,0,0,0,0,0.000063, 0.000133, 0.000532,0,0,0,0,0,0,0,0,0,6.849283,14.401780,57.739652,0,0,0,0,0,0,0,0,0
Kesslergrondel,3,0,0,3,0,0,0,0.090329,0,0, 0.090329,0,0,0,0,0,0,0,0,0.000025,0,0, 0.000588,0,0,0,0,0,0,0,0,1.363121,0,0,32.062163,0,0,0,0,0,0,0,0
wasbeerhond,1,0,1,0,0,0,0,0.098859,0,0,0,0,0,0,0,0,0, 0.098859,0,0.000007,0,0,0,0,0,0,0,0,0, 0.000094,0,1.491852,0,0,0,0,0,0,0,0,0,20.492129,0
Aziatische hoornaar (soort),647,57,348,218,4,13,7,0.028151,0.001640,0.000965,0.003894,0.007584,0.000227,0.000412,0.004711,0.004298,0.000393,0.004000,0.000027,0.019356,0.010896,0.007151,0.062973,0.065403,0.000808,0.002091,0.069247,0.035789,0.001800,0.037775,0.020760,0.424813,0.239144,0.156951,1.382099,1.435439,0.017744,0.045897,1.519800,0.785472,0.039514,0.829078,0.455623
Leidse plant,2,0,1,1,0,0,0,0.086074,0,0.005454,0,0,0,0,0,0,0, 0.08062,0,0.000023,0,0.000015,0,0,0,0,0,0,0, 0.00029,0,1.298912,0,0.886768,0,0,0,0,0,0,0,16.71144,0
treurmaina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
moerasanemoon,6,1,3,2,0,0,0,0.042313,0.008763,0.009807,0.023743,0,0,0,0,0,0,0,0,0.000057,0.000113,0.000142,0.000748,0,0,0,0,0,0,0,0,0.638527,1.277670,1.594665,8.427420,0,0,0,0,0,0,0,0
Turkse rivierkreeft,4,0,2,2,0,0,0,0.363374,0,0, 0.278246,0.004050,0,0,0, 0.081078,0,0,0,0.000135,0,0, 0.002428,0.000019,0,0,0, 0.000364,0,0,0,5.483565,0,0,98.763492,0.766540,0,0,0,14.816781,0,0,0
marmerkreeft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sikahert,5,1,1,2,1,0,0,0.516505,0, 0.461765,0.001088,0,0.011734,0,0,0.041918,0,0,0,0.000689,0, 0.006633,0.000034,0,0.000081,0,0,0.000677,0,0,0,7.794414,0,75.083515,0.386024,0,0.918060,0,0,7.660462,0,0,0
Amerikaanse voseekhoorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gewone gunnera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noord-Aziatische modderkruiper,1,0,0,1,0,0,0,0.018102,0,0,0,0,0.018102,0,0,0,0,0,0,0.000004,0,0,0,0,0.000020,0,0,0,0,0,0,0.273175,0,0,0,0,1.416324,0,0,0,0,0,0
Japans steltgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontische stroomgrondel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afrikaanse klauwkikker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fraai lampenpoetsersgras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grote vlotvaren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
