soort,species,abbr,gebied,overlap,type
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301235,1.491714,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301336,0.000241,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301336,0.001344,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301336,0.046266,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2422315,0.001091,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2422315,0.034589,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2422315,1.190708,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500121, 0.009969,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500121, 0.353711,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500121,12.176302,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500831,0.000202,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500831,0.001560,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500831,0.053695,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500932,0.000218,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500932,0.000885,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2500932,0.030478,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2501033,0.002098,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2501033,0.043403,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2501033,1.494120,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301134,0,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301134,0,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2301134,0,sel
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2524317,0,in
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2524317,0,of
Amerikaanse vogelkers,Prunus serotina Ehrh.,Pse,BE2524317,0,sel
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,VGLRL,0.052077,in
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,VGLRL,0.005210,of
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,VGLRL,0.722427,sel
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2100323,0.000430,in
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2100323,0.001938,of
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2100323,0.268702,sel
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101437,0.002997,in
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101437,0.007167,of
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101437,0.993671,sel
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101538,0.001191,in
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101538,0.001654,of
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101538,0.229392,sel
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101639,0.000433,in
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101639,0.000787,of
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2101639,0.109124,sel
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2200525,0.001024,in
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2200525,0.012825,of
reuzenberenklauw,Heracleum mantegazzianum Sommier & Levier,Hm,BE2200525,1.778143,sel
